"term","name"
"GO:0006797","polyphosphate metabolic process"
"GO:0006798","polyphosphate catabolic process"
"GO:0006799","polyphosphate biosynthetic process"
"GO:0006801","superoxide metabolic process"
"GO:0006805","xenobiotic metabolic process"
"GO:0006808","regulation of nitrogen utilization"
"GO:0006809","nitric oxide biosynthetic process"
"GO:0006811","monoatomic ion transport"
"GO:0006812","monoatomic cation transport"
"GO:0006813","potassium ion transport"
"GO:0006814","sodium ion transport"
"GO:0006816","calcium ion transport"
"GO:0006817","phosphate ion transport"
"GO:0006820","monoatomic anion transport"
"GO:0006821","chloride transport"
"GO:0006824","cobalt ion transport"
"GO:0006825","copper ion transport"
"GO:0006826","iron ion transport"
"GO:0006828","manganese ion transport"
"GO:0006829","zinc ion transport"
"GO:0006833","water transport"
"GO:0006835","dicarboxylic acid transport"
"GO:0006839","mitochondrial transport"
"GO:0006842","tricarboxylic acid transport"
"GO:0006843","mitochondrial citrate transmembrane transport"
"GO:0006846","acetate transport"
"GO:0006849","plasma membrane pyruvate transport"
"GO:0006850","pyruvate import into mitochondria"
"GO:0006857","oligopeptide transport"
"GO:0006862","nucleotide transport"
"GO:0006864","pyrimidine nucleotide transport"
"GO:0006865","amino acid transport"
"GO:0006868","glutamine transport"
"GO:0006869","lipid transport"
"GO:0006873","intracellular monoatomic ion homeostasis"
"GO:0006874","intracellular calcium ion homeostasis"
"GO:0006877","intracellular cobalt ion homeostasis"
"GO:0006878","intracellular copper ion homeostasis"
"GO:0006879","intracellular iron ion homeostasis"
"GO:0006882","intracellular zinc ion homeostasis"
"GO:0006883","intracellular sodium ion homeostasis"
"GO:0006885","regulation of pH"
"GO:0006886","intracellular protein transport"
"GO:0006887","exocytosis"
"GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport"
"GO:0006890","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum"
"GO:0006891","intra-Golgi vesicle-mediated transport"
"GO:0006892","post-Golgi vesicle-mediated transport"
"GO:0006893","Golgi to plasma membrane transport"
"GO:0006895","Golgi to endosome transport"
"GO:0006896","Golgi to vacuole transport"
"GO:0006897","endocytosis"
"GO:0006898","receptor-mediated endocytosis"
"GO:0006900","vesicle budding from membrane"
"GO:0006901","vesicle coating"
"GO:0006903","vesicle targeting"
"GO:0006904","vesicle docking involved in exocytosis"
"GO:0006906","vesicle fusion"
"GO:0006913","nucleocytoplasmic transport"
"GO:0006914","autophagy"
"GO:0006915","apoptotic process"
"GO:0006950","response to stress"
"GO:0006970","response to osmotic stress"
"GO:0006972","hyperosmotic response"
"GO:0006973","intracellular accumulation of glycerol"
"GO:0006974","DNA damage response"
"GO:0006979","response to oxidative stress"
"GO:0006986","response to unfolded protein"
"GO:0006995","cellular response to nitrogen starvation"
"GO:0006997","nucleus organization"
"GO:0006998","nuclear envelope organization"
"GO:0006999","nuclear pore organization"
"GO:0007000","nucleolus organization"
"GO:0007004","telomere maintenance via telomerase"
"GO:0007005","mitochondrion organization"
"GO:0007006","mitochondrial membrane organization"
"GO:0007007","inner mitochondrial membrane organization"
"GO:0007008","outer mitochondrial membrane organization"
"GO:0007009","plasma membrane organization"
"GO:0007010","cytoskeleton organization"
"GO:0007015","actin filament organization"
"GO:0007017","microtubule-based process"
"GO:0007018","microtubule-based movement"
"GO:0007019","microtubule depolymerization"
"GO:0007020","microtubule nucleation"
"GO:0007021","tubulin complex assembly"
"GO:0007023","post-chaperonin tubulin folding pathway"
"GO:0007026","negative regulation of microtubule depolymerization"
"GO:0007029","endoplasmic reticulum organization"
"GO:0007030","Golgi organization"
"GO:0007031","peroxisome organization"
"GO:0007032","endosome organization"
"GO:0007033","vacuole organization"
"GO:0007034","vacuolar transport"
"GO:0007035","vacuolar acidification"
"GO:0007036","vacuolar calcium ion homeostasis"
"GO:0007039","protein catabolic process in the vacuole"
"GO:0007042","lysosomal lumen acidification"
"GO:0007051","spindle organization"
"GO:0007052","mitotic spindle organization"
"GO:0007059","chromosome segregation"
"GO:0007062","sister chromatid cohesion"
"GO:0007063","regulation of sister chromatid cohesion"
"GO:0007064","mitotic sister chromatid cohesion"
"GO:0007076","mitotic chromosome condensation"
"GO:0007079","mitotic chromosome movement towards spindle pole"
"GO:0007080","mitotic metaphase chromosome alignment"
"GO:0007084","mitotic nuclear membrane reassembly"
"GO:0007088","regulation of mitotic nuclear division"
"GO:0007089","traversing start control point of mitotic cell cycle"
"GO:0007091","metaphase/anaphase transition of mitotic cell cycle"
"GO:0007094","mitotic spindle assembly checkpoint signaling"
"GO:0007095","mitotic G2 DNA damage checkpoint signaling"
"GO:0007096","regulation of exit from mitosis"
"GO:0007097","nuclear migration"
"GO:0007107","membrane addition at site of cytokinesis"
"GO:0007114","cell budding"
"GO:0007116","regulation of cell budding"
"GO:0007117","budding cell bud growth"
"GO:0007118","budding cell apical bud growth"
"GO:0007119","budding cell isotropic bud growth"
"GO:0007120","axial cellular bud site selection"
"GO:0007121","bipolar cellular bud site selection"
"GO:0007124","pseudohyphal growth"
"GO:0007127","meiosis I"
"GO:0007129","homologous chromosome pairing at meiosis"
"GO:0007130","synaptonemal complex assembly"
"GO:0007131","reciprocal meiotic recombination"
"GO:0007135","meiosis II"
"GO:0007155","cell adhesion"
"GO:0007163","establishment or maintenance of cell polarity"
"GO:0007165","signal transduction"
"GO:0007166","cell surface receptor signaling pathway"
"GO:0007186","G protein-coupled receptor signaling pathway"
"GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway"
"GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway"
"GO:0007193","adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway"
"GO:0007231","osmosensory signaling pathway"
"GO:0007232","osmosensory signaling pathway via Sho1 osmosensor"
"GO:0007234","osmosensory signaling via phosphorelay pathway"
"GO:0007254","JNK cascade"
"GO:0007264","small GTPase-mediated signal transduction"
"GO:0007265","Ras protein signal transduction"
"GO:0007266","Rho protein signal transduction"
"GO:0007323","peptide pheromone maturation"
"GO:0007346","regulation of mitotic cell cycle"
"GO:0007531","mating type determination"
"GO:0007532","regulation of mating-type specific transcription, DNA-templated"
"GO:0007533","mating type switching"
"GO:0007534","gene conversion at mating-type locus"
"GO:0007535","donor selection"
"GO:0007584","response to nutrient"
"GO:0007618","mating"
"GO:0007623","circadian rhythm"
"GO:0008033","tRNA processing"
"GO:0008053","mitochondrial fusion"
"GO:0008104","intracellular protein localization"
"GO:0008150","biological_process"
"GO:0008153","4-aminobenzoate biosynthetic process"
"GO:0008156","negative regulation of DNA replication"
"GO:0008202","steroid metabolic process"
"GO:0008204","ergosterol metabolic process"
"GO:0008216","spermidine metabolic process"
"GO:0008295","spermidine biosynthetic process"
"GO:0008298","intracellular mRNA localization"
"GO:0008299","isoprenoid biosynthetic process"
"GO:0008315","G2/MI transition of meiotic cell cycle"
"GO:0008360","regulation of cell shape"
"GO:0008361","regulation of cell size"
"GO:0008380","RNA splicing"
"GO:0008535","respiratory chain complex IV assembly"
"GO:0008608","attachment of spindle microtubules to kinetochore"
"GO:0008610","lipid biosynthetic process"
"GO:0008612","peptidyl-hypusine biosynthetic process"
"GO:0008614","pyridoxine metabolic process"
"GO:0008615","pyridoxine biosynthetic process"
"GO:0008637","apoptotic mitochondrial changes"
"GO:0008643","carbohydrate transport"
"GO:0008645","hexose transmembrane transport"
"GO:0008652","amino acid biosynthetic process"
"GO:0008654","phospholipid biosynthetic process"
"GO:0008655","pyrimidine-containing compound salvage"
"GO:0009051","pentose-phosphate shunt, oxidative branch"
"GO:0009052","pentose-phosphate shunt, non-oxidative branch"
"GO:0009056","catabolic process"
"GO:0009060","aerobic respiration"
"GO:0009061","anaerobic respiration"
"GO:0009062","fatty acid catabolic process"
"GO:0009063","amino acid catabolic process"
"GO:0009067","aspartate family amino acid biosynthetic process"
"GO:0009072","aromatic amino acid metabolic process"
"GO:0009073","aromatic amino acid family biosynthetic process"
"GO:0009074","aromatic amino acid family catabolic process"
"GO:0009081","branched-chain amino acid metabolic process"
"GO:0009082","branched-chain amino acid biosynthetic process"
"GO:0009083","branched-chain amino acid catabolic process"
"GO:0009085","L-lysine biosynthetic process"
"GO:0009087","L-methionine catabolic process"
"GO:0009088","L-threonine biosynthetic process"
"GO:0009090","L-homoserine biosynthetic process"
"GO:0009092","L-homoserine metabolic process"
"GO:0009094","L-phenylalanine biosynthetic process"
"GO:0009097","isoleucine biosynthetic process"
"GO:0009098","L-leucine biosynthetic process"
"GO:0009099","L-valine biosynthetic process"
"GO:0009101","glycoprotein biosynthetic process"
"GO:0009102","biotin biosynthetic process"
"GO:0009107","lipoate biosynthetic process"
"GO:0009113","purine nucleobase biosynthetic process"
"GO:0009116","nucleoside metabolic process"
"GO:0009117","nucleotide metabolic process"
"GO:0009123","nucleoside monophosphate metabolic process"
"GO:0009132","nucleoside diphosphate metabolic process"
"GO:0009134","nucleoside diphosphate catabolic process"
"GO:0009141","nucleoside triphosphate metabolic process"
"GO:0009142","nucleoside triphosphate biosynthetic process"
"GO:0009143","nucleoside triphosphate catabolic process"
"GO:0009146","purine nucleoside triphosphate catabolic process"
"GO:0009150","purine ribonucleotide metabolic process"
"GO:0009152","purine ribonucleotide biosynthetic process"
"GO:0009156","ribonucleoside monophosphate biosynthetic process"
"GO:0009159","deoxyribonucleoside monophosphate catabolic process"
"GO:0009164","nucleoside catabolic process"
"GO:0009165","nucleotide biosynthetic process"
"GO:0009166","nucleotide catabolic process"
"GO:0009168","purine ribonucleoside monophosphate biosynthetic process"
"GO:0009187","cyclic nucleotide metabolic process"
"GO:0009190","cyclic nucleotide biosynthetic process"
"GO:0009200","deoxyribonucleoside triphosphate metabolic process"
"GO:0009202","deoxyribonucleoside triphosphate biosynthetic process"
"GO:0009204","deoxyribonucleoside triphosphate catabolic process"
"GO:0009213","pyrimidine deoxyribonucleoside triphosphate catabolic process"
"GO:0009217","purine deoxyribonucleoside triphosphate catabolic process"
"GO:0009224","CMP biosynthetic process"
"GO:0009228","thiamine biosynthetic process"
"GO:0009229","thiamine diphosphate biosynthetic process"
"GO:0009230","thiamine catabolic process"
"GO:0009231","riboflavin biosynthetic process"
"GO:0009237","siderophore metabolic process"
"GO:0009240","isopentenyl diphosphate biosynthetic process"
"GO:0009247","glycolipid biosynthetic process"
"GO:0009249","protein lipoylation"
"GO:0009251","glucan catabolic process"
"GO:0009263","deoxyribonucleotide biosynthetic process"
"GO:0009267","cellular response to starvation"
"GO:0009268","response to pH"
"GO:0009272","fungal-type cell wall biogenesis"
"GO:0009298","GDP-mannose biosynthetic process"
"GO:0009299","mRNA transcription"
"GO:0009301","snRNA transcription"
"GO:0009302","sno(s)RNA transcription"
"GO:0009303","rRNA transcription"
"GO:0009306","protein secretion"
"GO:0009311","oligosaccharide metabolic process"
"GO:0009313","oligosaccharide catabolic process"
"GO:0009314","response to radiation"
"GO:0009395","phospholipid catabolic process"
"GO:0009396","folic acid-containing compound biosynthetic process"
"GO:0009398","FMN biosynthetic process"
"GO:0009408","response to heat"
"GO:0009410","response to xenobiotic stimulus"
"GO:0009411","response to UV"
"GO:0009423","chorismate biosynthetic process"
"GO:0009435","NAD+ biosynthetic process"
"GO:0009436","glyoxylate catabolic process"
"GO:0009437","carnitine metabolic process"
"GO:0009442","allantoin assimilation pathway"
"GO:0009443","pyridoxal 5'-phosphate salvage"
"GO:0009446","putrescine biosynthetic process"
"GO:0009448","gamma-aminobutyric acid metabolic process"
"GO:0009450","gamma-aminobutyric acid catabolic process"
"GO:0009451","RNA modification"
"GO:0009617","response to bacterium"
"GO:0009636","response to toxic substance"
"GO:0009651","response to salt stress"
"GO:0009691","cytokinin biosynthetic process"
"GO:0009731","detection of sucrose stimulus"
"GO:0009745","sucrose mediated signaling"
"GO:0009749","response to glucose"
"GO:0009757","hexose mediated signaling"
"GO:0009826","unidimensional cell growth"
"GO:0009847","spore germination"
"GO:0009891","positive regulation of biosynthetic process"
"GO:0009893","positive regulation of metabolic process"
"GO:0009896","positive regulation of catabolic process"
"GO:0009966","regulation of signal transduction"
"GO:0009967","positive regulation of signal transduction"
"GO:0009968","negative regulation of signal transduction"
"GO:0010032","meiotic chromosome condensation"
"GO:0010038","response to metal ion"
"GO:0010040","response to iron(II) ion"
"GO:0010106","cellular response to iron ion starvation"
"GO:0010124","phenylacetate catabolic process"
"GO:0010142","farnesyl diphosphate biosynthetic process, mevalonate pathway"
"GO:0010147","fructan catabolic process"
"GO:0010155","regulation of proton transport"
"GO:0010255","glucose mediated signaling pathway"
"GO:0010256","endomembrane system organization"
"GO:0010273","detoxification of copper ion"
"GO:0010447","response to acidic pH"
"GO:0010458","exit from mitosis"
"GO:0010467","gene expression"
"GO:0010468","regulation of gene expression"
"GO:0010498","proteasomal protein catabolic process"
"GO:0010499","proteasomal ubiquitin-independent protein catabolic process"
"GO:0010506","regulation of autophagy"
"GO:0010507","negative regulation of autophagy"
"GO:0010508","positive regulation of autophagy"
"GO:0010509","intracellular polyamine homeostasis"
"GO:0010510","regulation of pyruvate decarboxylation to acetyl-CoA"
"GO:0010511","regulation of phosphatidylinositol biosynthetic process"
"GO:0010512","negative regulation of phosphatidylinositol biosynthetic process"
"GO:0010513","positive regulation of phosphatidylinositol biosynthetic process"
"GO:0010520","regulation of reciprocal meiotic recombination"
"GO:0010526","transposable element silencing"
"GO:0010557","positive regulation of macromolecule biosynthetic process"
"GO:0010568","regulation of budding cell apical bud growth"
"GO:0010570","regulation of filamentous growth"
"GO:0010571","positive regulation of nuclear cell cycle DNA replication"
"GO:0010603","regulation of cytoplasmic mRNA processing body assembly"
"GO:0010604","positive regulation of macromolecule metabolic process"
"GO:0010606","positive regulation of cytoplasmic mRNA processing body assembly"
"GO:0010607","negative regulation of cytoplasmic mRNA processing body assembly"
"GO:0010608","post-transcriptional regulation of gene expression"
"GO:0010609","mRNA localization resulting in post-transcriptional regulation of gene expression"
"GO:0010628","positive regulation of gene expression"
"GO:0010629","negative regulation of gene expression"
"GO:0010636","positive regulation of mitochondrial fusion"
"GO:0010637","negative regulation of mitochondrial fusion"
"GO:0010688","negative regulation of ribosomal protein gene transcription by RNA polymerase II"
"GO:0010696","positive regulation of mitotic spindle pole body separation"
"GO:0010697","negative regulation of mitotic spindle pole body separation"
"GO:0010731","protein glutathionylation"
"GO:0010765","positive regulation of sodium ion transport"
"GO:0010774","meiotic strand invasion involved in reciprocal meiotic recombination"
"GO:0010780","meiotic DNA double-strand break formation involved in reciprocal meiotic recombination"
"GO:0010789","meiosis I sister chromatid cohesion"
"GO:0010791","DNA double-strand break processing involved in repair via synthesis-dependent strand annealing"
"GO:0010793","regulation of mRNA export from nucleus"
"GO:0010794","regulation of dolichyl monophosphate biosynthetic process"
"GO:0010795","regulation of ubiquinone biosynthetic process"
"GO:0010811","positive regulation of cell-substrate adhesion"
"GO:0010821","regulation of mitochondrion organization"
"GO:0010827","regulation of D-glucose transmembrane transport"
"GO:0010828","positive regulation of D-glucose transmembrane transport"
"GO:0010833","telomere maintenance via telomere lengthening"
"GO:0010845","positive regulation of reciprocal meiotic recombination"
"GO:0010846","activation of reciprocal meiotic recombination"
"GO:0010867","positive regulation of triglyceride biosynthetic process"
"GO:0010895","negative regulation of ergosterol biosynthetic process"
"GO:0010898","positive regulation of triglyceride catabolic process"
"GO:0010906","regulation of glucose metabolic process"
"GO:0010919","regulation of inositol phosphate biosynthetic process"
"GO:0010920","negative regulation of inositol phosphate biosynthetic process"
"GO:0010944","negative regulation of transcription by competitive promoter binding"
"GO:0010947","negative regulation of meiotic joint molecule formation"
"GO:0010948","negative regulation of cell cycle process"
"GO:0010954","positive regulation of protein processing"
"GO:0010960","magnesium ion homeostasis"
"GO:0010961","intracellular magnesium ion homeostasis"
"GO:0010966","regulation of phosphate transport"
"GO:0010968","regulation of microtubule nucleation"
"GO:0010969","regulation of pheromone-dependent signal transduction involved in conjugation with cellular fusion"
"GO:0010970","transport along microtubule"
"GO:0010971","positive regulation of G2/M transition of mitotic cell cycle"
"GO:0010972","negative regulation of G2/M transition of mitotic cell cycle"
"GO:0010973","positive regulation of division septum assembly"
"GO:0010992","ubiquitin recycling"
"GO:0010994","free ubiquitin chain polymerization"
"GO:0010995","free ubiquitin chain depolymerization"
"GO:0014074","response to purine-containing compound"
"GO:0015031","protein transport"
"GO:0015074","DNA integration"
"GO:0015677","copper ion import"
"GO:0015685","ferric-enterobactin import into cell"
"GO:0015691","cadmium ion transport"
"GO:0015693","magnesium ion transport"
"GO:0015695","organic cation transport"
"GO:0015699","antimonite transmembrane transport"
"GO:0015700","arsenite transport"
"GO:0015706","nitrate transmembrane transport"
"GO:0015707","nitrite transport"
"GO:0015709","thiosulfate transport"
"GO:0015711","organic anion transport"
"GO:0015718","monocarboxylic acid transport"
"GO:0015719","allantoate transport"
"GO:0015720","allantoin transport"
"GO:0015729","oxaloacetate transport"
"GO:0015739","sialic acid transport"
"GO:0015741","fumarate transport"
"GO:0015742","alpha-ketoglutarate transport"
"GO:0015744","succinate transport"
"GO:0015749","monosaccharide transmembrane transport"
"GO:0015750","pentose transmembrane transport"
"GO:0015755","fructose transmembrane transport"
"GO:0015757","galactose transmembrane transport"
"GO:0015761","mannose transmembrane transport"
"GO:0015768","maltose transport"
"GO:0015771","trehalose transport"
"GO:0015780","nucleotide-sugar transmembrane transport"
"GO:0015786","UDP-glucose transmembrane transport"
"GO:0015790","UDP-xylose transmembrane transport"
"GO:0015791","polyol transmembrane transport"
"GO:0015793","glycerol transmembrane transport"
"GO:0015794","glycerol-3-phosphate transmembrane transport"
"GO:0015795","sorbitol transmembrane transport"
"GO:0015797","mannitol transmembrane transport"
"GO:0015798","myo-inositol transport"
"GO:0015801","aromatic amino acid transport"
"GO:0015802","basic amino acid transport"
"GO:0015803","branched-chain amino acid transport"
"GO:0015804","neutral amino acid transport"
"GO:0015805","S-adenosyl-L-methionine transport"
"GO:0015806","S-methylmethionine transport"
"GO:0015810","aspartate transmembrane transport"
"GO:0015811","L-cystine transport"
"GO:0015812","gamma-aminobutyric acid transport"
"GO:0015813","L-glutamate transmembrane transport"
"GO:0015816","glycine transport"
"GO:0015817","histidine transport"
"GO:0015819","lysine transport"
"GO:0015821","methionine transport"
"GO:0015823","phenylalanine transport"
"GO:0015824","proline transport"
"GO:0015825","L-serine transport"
"GO:0015826","threonine transport"
"GO:0015827","tryptophan transport"
"GO:0015828","tyrosine transport"
"GO:0015833","peptide transport"
"GO:0015837","amine transport"
"GO:0015840","urea transport"
"GO:0015846","polyamine transport"
"GO:0015847","putrescine transport"
"GO:0015848","spermidine transport"
"GO:0015849","organic acid transport"
"GO:0015850","organic hydroxy compound transport"
"GO:0015851","nucleobase transport"
"GO:0015856","cytosine transport"
"GO:0015857","uracil transport"
"GO:0015858","nucleoside transport"
"GO:0015861","cytidine transport"
"GO:0015862","uridine transmembrane transport"
"GO:0015866","ADP transport"
"GO:0015867","ATP transport"
"GO:0015871","choline transport"
"GO:0015878","biotin transport"
"GO:0015880","coenzyme A transport"
"GO:0015883","FAD transport"
"GO:0015886","heme transport"
"GO:0015887","pantothenate transmembrane transport"
"GO:0015888","thiamine transport"
"GO:0015891","siderophore transport"
"GO:0015903","fluconazole transport"
"GO:0015908","fatty acid transport"
"GO:0015909","long-chain fatty acid transport"
"GO:0015910","long-chain fatty acid import into peroxisome"
"GO:0015914","phospholipid transport"
"GO:0015916","fatty-acyl-CoA transport"
"GO:0015917","aminophospholipid transport"
"GO:0015918","sterol transport"
"GO:0015931","nucleobase-containing compound transport"
"GO:0015936","coenzyme A metabolic process"
"GO:0015937","coenzyme A biosynthetic process"
"GO:0015938","coenzyme A catabolic process"
"GO:0015940","pantothenate biosynthetic process"
"GO:0015961","diadenosine polyphosphate catabolic process"
"GO:0015966","diadenosine tetraphosphate biosynthetic process"
"GO:0015976","carbon utilization"
"GO:0015980","energy derivation by oxidation of organic compounds"
"GO:0015986","proton motive force-driven ATP synthesis"
"GO:0015990","electron transport coupled proton transport"
"GO:0016024","CDP-diacylglycerol biosynthetic process"
"GO:0016031","tRNA import into mitochondrion"
"GO:0016036","cellular response to phosphate starvation"
"GO:0016042","lipid catabolic process"
"GO:0016050","vesicle organization"
"GO:0016052","carbohydrate catabolic process"
"GO:0016070","RNA metabolic process"
"GO:0016071","mRNA metabolic process"
"GO:0016072","rRNA metabolic process"
"GO:0016073","snRNA metabolic process"
"GO:0016074","sno(s)RNA metabolic process"
"GO:0016075","rRNA catabolic process"
"GO:0016078","tRNA decay"
"GO:0016094","polyprenol biosynthetic process"
"GO:0016104","triterpenoid biosynthetic process"
"GO:0016114","terpenoid biosynthetic process"
"GO:0016125","sterol metabolic process"
"GO:0016126","sterol biosynthetic process"
"GO:0016180","snRNA processing"
"GO:0016192","vesicle-mediated transport"
"GO:0016197","endosomal transport"
"GO:0016226","iron-sulfur cluster assembly"
"GO:0016233","telomere capping"
"GO:0016236","macroautophagy"
"GO:0016237","microautophagy"
"GO:0016239","positive regulation of macroautophagy"
"GO:0016241","regulation of macroautophagy"
"GO:0016242","negative regulation of macroautophagy"
"GO:0016255","attachment of GPI anchor to protein"
"GO:0016310","phosphorylation"
"GO:0016311","dephosphorylation"
"GO:0016320","endoplasmic reticulum membrane fusion"
"GO:0016479","negative regulation of transcription by RNA polymerase I"
"GO:0016480","negative regulation of transcription by RNA polymerase III"
"GO:0016482","cytosolic transport"
"GO:0016485","protein processing"
"GO:0016539","intein-mediated protein splicing"
"GO:0016540","protein autoprocessing"
"GO:0016556","mRNA modification"
"GO:0016558","protein import into peroxisome matrix"
"GO:0016559","peroxisome fission"
"GO:0016560","protein import into peroxisome matrix, docking"
"GO:0016561","protein import into peroxisome matrix, translocation"
"GO:0016562","protein import into peroxisome matrix, receptor recycling"
"GO:0016567","protein ubiquitination"
"GO:0016579","protein deubiquitination"
"GO:0016925","protein sumoylation"
"GO:0016926","protein desumoylation"
"GO:0016973","poly(A)+ mRNA export from nucleus"
"GO:0017004","cytochrome complex assembly"
"GO:0017013","protein flavinylation"
"GO:0017055","negative regulation of RNA polymerase II transcription preinitiation complex assembly"
"GO:0017121","plasma membrane phospholipid scrambling"
"GO:0017126","nucleologenesis"
"GO:0017148","negative regulation of translation"
"GO:0017157","regulation of exocytosis"
"GO:0017183","protein histidyl modification to diphthamide"
"GO:0017196","N-terminal peptidyl-methionine acetylation"
"GO:0018008","N-terminal peptidyl-glycine N-myristoylation"
"GO:0018016","N-terminal peptidyl-proline dimethylation"
"GO:0018022","peptidyl-lysine methylation"
"GO:0018023","peptidyl-lysine trimethylation"
"GO:0018026","peptidyl-lysine monomethylation"
"GO:0018027","peptidyl-lysine dimethylation"
"GO:0018063","cytochrome c-heme linkage"
"GO:0018105","peptidyl-serine phosphorylation"
"GO:0018107","peptidyl-threonine phosphorylation"
"GO:0018117","protein adenylylation"
"GO:0018158","protein oxidation"
"GO:0018188","peptidyl-proline di-hydroxylation"
"GO:0018216","peptidyl-arginine methylation"
"GO:0018293","protein-FAD linkage"
"GO:0018343","protein farnesylation"
"GO:0018344","protein geranylgeranylation"
"GO:0018345","protein palmitoylation"
"GO:0018364","peptidyl-glutamine methylation"
"GO:0018393","internal peptidyl-lysine acetylation"
"GO:0018890","cyanamide metabolic process"
"GO:0018909","dodecyl sulfate metabolic process"
"GO:0019216","regulation of lipid metabolic process"
"GO:0019217","regulation of fatty acid metabolic process"
"GO:0019236","response to pheromone"
"GO:0019240","citrulline biosynthetic process"
"GO:0019249","lactate biosynthetic process"
"GO:0019255","glucose 1-phosphate metabolic process"
"GO:0019264","glycine biosynthetic process from L-serine"
"GO:0019265","glycine biosynthetic process, by transamination of glyoxylate"
"GO:0019284","L-methionine salvage from S-adenosylmethionine"
"GO:0019287","isopentenyl diphosphate biosynthetic process, mevalonate pathway"
"GO:0019303","D-ribose catabolic process"
"GO:0019309","mannose catabolic process"
"GO:0019318","hexose metabolic process"
"GO:0019320","hexose catabolic process"
"GO:0019321","pentose metabolic process"
"GO:0019343","L-cysteine biosynthetic process via L-cystathionine"
"GO:0019344","L-cysteine biosynthetic process"
"GO:0019346","transsulfuration"
"GO:0019354","siroheme biosynthetic process"
"GO:0019358","nicotinate nucleotide salvage"
"GO:0019363","pyridine nucleotide biosynthetic process"
"GO:0019367","fatty acid elongation, saturated fatty acid"
"GO:0019368","fatty acid elongation, unsaturated fatty acid"
"GO:0019379","sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin)"
"GO:0019388","galactose catabolic process"
"GO:0019395","fatty acid oxidation"
"GO:0019413","acetate biosynthetic process"
"GO:0019427","acetyl-CoA biosynthetic process from acetate"
"GO:0019430","removal of superoxide radicals"
"GO:0019432","triglyceride biosynthetic process"
"GO:0019433","triglyceride catabolic process"
"GO:0019448","L-cysteine catabolic process"
"GO:0019464","glycine decarboxylation via glycine cleavage system"
"GO:0019483","beta-alanine biosynthetic process"
"GO:0019509","L-methionine salvage from methylthioadenosine"
"GO:0019521","D-gluconate metabolic process"
"GO:0019541","propionate metabolic process"
"GO:0019563","glycerol catabolic process"
"GO:0019568","arabinose catabolic process"
"GO:0019569","L-arabinose catabolic process to D-xylulose 5-phosphate"
"GO:0019588","anaerobic glycerol catabolic process"
"GO:0019594","mannitol metabolic process"
"GO:0019619","3,4-dihydroxybenzoate catabolic process"
"GO:0019629","propionate catabolic process, 2-methylcitrate cycle"
"GO:0019637","organophosphate metabolic process"
"GO:0019646","aerobic electron transport chain"
"GO:0019654","pyruvate fermentation to acetate"
"GO:0019655","pyruvate fermentation to ethanol"
"GO:0019674","NAD+ metabolic process"
"GO:0019676","ammonia assimilation cycle"
"GO:0019677","NAD+ catabolic process"
"GO:0019679","propionate metabolic process, methylcitrate cycle"
"GO:0019693","ribose phosphate metabolic process"
"GO:0019722","calcium-mediated signaling"
"GO:0019740","nitrogen utilization"
"GO:0019752","carboxylic acid metabolic process"
"GO:0019805","quinolinate biosynthetic process"
"GO:0019856","pyrimidine nucleobase biosynthetic process"
"GO:0019858","cytosine metabolic process"
"GO:0019878","L-lysine biosynthetic process via aminoadipic acid"
"GO:0019915","lipid storage"
"GO:0019941","modification-dependent protein catabolic process"
"GO:0019953","sexual reproduction"
"GO:0019985","translesion synthesis"
"GO:0019988","charged-tRNA amino acid modification"
"GO:0022604","regulation of cell morphogenesis"
"GO:0022613","ribonucleoprotein complex biogenesis"
"GO:0022618","protein-RNA complex assembly"
"GO:0022900","electron transport chain"
"GO:0022904","respiratory electron transport chain"
"GO:0023056","positive regulation of signaling"
"GO:0030001","metal ion transport"
"GO:0030003","intracellular monoatomic cation homeostasis"
"GO:0030007","intracellular potassium ion homeostasis"
"GO:0030010","establishment of cell polarity"
"GO:0030011","maintenance of cell polarity"
"GO:0030026","intracellular manganese ion homeostasis"
"GO:0030029","actin filament-based process"
"GO:0030036","actin cytoskeleton organization"
"GO:0030041","actin filament polymerization"
"GO:0030042","actin filament depolymerization"
"GO:0030048","actin filament-based movement"
"GO:0030050","vesicle transport along actin filament"
"GO:0030071","regulation of mitotic metaphase/anaphase transition"
"GO:0030091","protein repair"
"GO:0030100","regulation of endocytosis"
"GO:0030148","sphingolipid biosynthetic process"
"GO:0030149","sphingolipid catabolic process"
"GO:0030150","protein import into mitochondrial matrix"
"GO:0030154","cell differentiation"
"GO:0030162","regulation of proteolysis"
"GO:0030163","protein catabolic process"
"GO:0030174","regulation of DNA-templated DNA replication initiation"
"GO:0030187","melatonin biosynthetic process"
"GO:0030258","lipid modification"
"GO:0030261","chromosome condensation"
"GO:0030307","positive regulation of cell growth"
"GO:0030388","fructose 1,6-bisphosphate metabolic process"
"GO:0030397","membrane disassembly"
"GO:0030435","sporulation resulting in formation of a cellular spore"
"GO:0030437","ascospore formation"
"GO:0030447","filamentous growth"
