# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "10" "-F" "GTF" "-t" "exon" "-g" "gene_id" "-p" "-B" "-C" "-s" "2" "-a" "/mnt/d/GIS/yeast_metabolomics_2017/ref/downloads/sacCer3.gtf" "-o" "/mnt/d/GIS/yeast_metabolomics_2017/counts/gene_counts.txt" "/mnt/d/GIS/yeast_metabolomics_2017/alignments/AE1.sorted.bam" "/mnt/d/GIS/yeast_metabolomics_2017/alignments/AE2.sorted.bam" "/mnt/d/GIS/yeast_metabolomics_2017/alignments/AE3.sorted.bam" "/mnt/d/GIS/yeast_metabolomics_2017/alignments/RT1.sorted.bam" "/mnt/d/GIS/yeast_metabolomics_2017/alignments/RT2.sorted.bam" "/mnt/d/GIS/yeast_metabolomics_2017/alignments/RT3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/d/GIS/yeast_metabolomics_2017/alignments/AE1.sorted.bam	/mnt/d/GIS/yeast_metabolomics_2017/alignments/AE2.sorted.bam	/mnt/d/GIS/yeast_metabolomics_2017/alignments/AE3.sorted.bam	/mnt/d/GIS/yeast_metabolomics_2017/alignments/RT1.sorted.bam	/mnt/d/GIS/yeast_metabolomics_2017/alignments/RT2.sorted.bam	/mnt/d/GIS/yeast_metabolomics_2017/alignments/RT3.sorted.bam
gene:YDL205C	IV	92762	93745	-	984	1695	1451	1314	3278	2834	3408
gene:YDL204W	IV	94605	95786	+	1182	69254	98542	63892	16435	17122	21592
gene:YDL203C	IV	96082	97953	-	1872	1873	1333	1165	1922	1710	2159
gene:YDL202W	IV	98475	99224	+	750	949	566	327	659	865	883
gene:YDL201W	IV	99561	100421	+	861	3547	1676	851	3587	4243	4564
gene:YDL200C	IV	100501	101067	-	567	1928	1688	513	763	1142	935
gene:YDL199C	IV	101290	103353	-	2064	5033	6973	5673	1764	1702	2001
gene:YDL198C	IV	103649	104551	-	903	2720	1323	1410	6417	6421	5327
gene:YDL197C	IV	104917	106494	-	1578	3403	2483	2133	1190	1035	1380
gene:YDL196W	IV	106741	107070	+	330	26	54	74	19	20	29
gene:YDL195W	IV	107208	111029	+	3822	11344	9449	15161	9211	7721	10075
gene:YDL194W	IV	111580	114234	+	2655	4164	3556	3646	2774	2447	3001
gene:YDL193W	IV	114672	115799	+	1128	7252	6636	3426	1835	1672	2062
gene:YDL192W	IV	116321	116866	+	546	5648	3810	1763	5843	8339	6547
gene:YDL191W	IV;IV	117664;118158	117666;118517	+;+	363	3297	2398	1437	4330	6678	4377
gene:YDL190C	IV	118707	121592	-	2886	8105	5578	4700	4453	3683	4981
gene:YDL189W	IV	122216	123589	+	1374	1320	713	437	1071	1091	1535
gene:YDL188C	IV	123865	124998	-	1134	3442	4870	4754	3136	3025	3694
gene:YDL187C	IV	125509	125838	-	330	98	123	149	149	115	160
gene:YDL186W	IV	125616	126449	+	834	3294	2631	1176	717	512	302
gene:YDL185C-A	IV	126608	126835	-	228	3	2	0	1	0	0
gene:YDL185W	IV	126787	130002	+	3216	39121	24390	30740	43201	43744	50176
gene:YDL184C	IV	130407	130484	-	78	602	1271	819	1152	1994	1212
gene:YDL183C	IV	130871	131833	-	963	1196	1101	776	757	719	738
gene:YDL182W	IV	133437	134723	+	1287	4853	3918	4849	8678	9752	9929
gene:YDL181W	IV	135179	135436	+	258	2865	5632	2379	2693	3788	2566
gene:YDL180W	IV	135896	137539	+	1644	2716	2421	2094	2647	2199	2542
gene:YDL179W	IV	138291	139205	+	915	610	554	439	718	771	856
gene:YDL178W	IV	139522	141114	+	1593	2947	1656	1360	4635	3995	4845
gene:YDL177C	IV	141209	141721	-	513	636	436	174	451	448	431
gene:YDL176W	IV	142097	144223	+	2127	2382	1376	1122	1786	1438	1967
gene:YDL175C	IV	144484	145518	-	1035	1096	735	503	1109	1187	1226
gene:YDL174C	IV	145826	147589	-	1764	9372	9989	8505	13169	14674	12801
gene:YDL173W	IV	148191	149078	+	888	5498	3637	1029	2050	2753	2463
gene:YDL172C	IV	148607	149086	-	480	90	128	108	47	31	57
gene:YDL171C	IV	149203	155640	-	6438	32013	16752	34575	57059	42504	59285
gene:YDL170W	IV	156318	157904	+	1587	1543	953	923	2421	2132	2291
gene:YDL169C	IV	158064	158735	-	672	2708	2349	1566	1123	1047	1057
gene:YDL168W	IV	159604	160764	+	1161	12500	14373	11703	8336	10470	9860
gene:YDL167C	IV	160995	163154	-	2160	2835	1101	1164	3972	3468	4742
gene:YDL166C	IV	163449	164042	-	594	812	296	188	881	993	739
gene:YDL165W	IV	164290	164865	+	576	1765	1818	839	1577	2161	1556
gene:YDL164C	IV	164987	167254	-	2268	1035	955	1075	670	698	835
gene:YDL163W	IV	166956	167258	+	303	0	1	0	0	2	2
gene:YDL162C	IV	167359	167715	-	357	5	10	0	7	1	3
gene:YDL161W	IV	167714	169078	+	1365	1799	1142	838	971	772	969
gene:YDL160C-A	IV	169366	169608	-	243	81	69	35	70	84	61
gene:YDL160C	IV	170410	171930	-	1521	11451	8838	8443	7290	6821	8668
gene:YDL159W-A	IV	172182	172313	+	132	4	4	1	8	0	8
gene:YDL159W	IV	172481	174028	+	1548	1910	1380	1126	1877	1617	1952
gene:YDL159C-B	IV	173056	173232	-	177	4	2	3	0	1	5
gene:YDL158C	IV	173866	174174	-	309	101	190	75	97	157	140
gene:YDL157C	IV	174232	174588	-	357	516	965	363	567	730	592
gene:YDL156W	IV	174918	176486	+	1569	1405	978	982	607	638	683
gene:YDL155W	IV	176773	178056	+	1284	5247	3670	2641	2728	2346	2362
gene:YDL154W	IV	178334	181039	+	2706	8828	5151	3204	1622	1401	1444
gene:YDL153C	IV	181186	183018	-	1833	1711	347	444	2162	1581	1937
gene:YDL152W	IV	182822	183187	+	366	4	0	0	5	1	12
gene:YDL151C	IV	183318	183899	-	582	8	7	4	6	0	4
gene:YDL150W	IV	183343	184611	+	1269	3552	1193	713	3008	3193	3776
gene:YDL149W	IV	184925	187918	+	2994	10950	8369	8368	4288	3823	5050
gene:YDL148C	IV	188154	190586	-	2433	7385	1490	1017	5987	6008	6999
gene:YDL147W	IV	190924	192261	+	1338	23830	15614	9655	9319	8942	11512
gene:YDL146W	IV	192750	194225	+	1476	1087	893	824	766	768	894
gene:YDL145C	IV	194571	198176	-	3606	20783	11692	11366	19004	16953	22466
gene:YDL144C	IV	198662	199732	-	1071	1503	1970	2055	2326	2381	2361
gene:YDL143W	IV	199996	201582	+	1587	6825	4065	3981	7784	7702	8765
gene:YDL142C	IV	201719	202570	-	852	519	936	590	749	646	697
gene:YDL141W	IV	203039	205111	+	2073	1556	1700	1745	1915	1833	2334
gene:YDL140C	IV	205360	210561	-	5202	21043	14224	22824	22771	18244	24257
gene:YDL139C	IV	211375	212046	-	672	1485	900	392	553	527	581
gene:YDL138W	IV	213351	215642	+	2292	2568	2064	2183	2888	2436	2981
gene:YDL137W	IV	216529	217074	+	546	12477	16058	9973	9431	10342	9560
gene:YDL136W	IV;IV	217600;218008	217602;218367	+;+	363	3920	2542	1265	4684	7518	5000
gene:YDL135C	IV	218680	219288	-	609	2207	1785	1087	1032	1093	1218
gene:YDL134C	IV	219662	220771	-	1110	7651	6093	5343	6296	6636	7206
gene:YDL133C-A	IV	221724	221801	-	78	1003	1530	251	1503	3164	1365
gene:YDL133W	IV	222427	223740	+	1314	2980	2474	1867	2069	1885	2136
gene:YDL132W	IV	224304	226751	+	2448	10901	7182	6366	5081	4729	6278
gene:YDL131W	IV	227393	228715	+	1323	4726	2825	2446	6727	7285	7786
gene:YDL130W-A	IV	229171	229431	+	261	5488	9147	2002	2369	3262	2951
gene:YDL130W	IV;IV	229906;230321	230019;230527	+;+	321	1832	1773	1765	3817	7431	3955
gene:YDL129W	IV	231024	231899	+	876	829	676	588	780	765	878
gene:YDL128W	IV	232652	233887	+	1236	3787	5325	5031	8007	7555	8296
gene:YDL127W	IV	234927	235853	+	927	563	390	261	656	797	808
gene:YDL126C	IV	236157	238664	-	2508	35939	27243	33497	25859	21801	28421
gene:YDL125C	IV;IV	239019;239510	239398;239606	-;-	477	3100	6560	4571	2804	3144	2211
gene:YDL124W	IV	240259	241197	+	939	30739	40651	34042	15582	16773	17896
gene:YDL123W	IV	241418	241840	+	423	835	1323	1375	1189	1176	1248
gene:YDL122W	IV	242552	244981	+	2430	16433	6348	4945	10151	9215	11313
gene:YDL121C	IV	245133	245582	-	450	1554	1372	690	1701	2058	1909
gene:YDL120W	IV	245923	246447	+	525	1103	1201	827	1000	1248	1098
gene:YDL119C	IV	246689	247612	-	924	57	122	107	65	81	118
gene:YDL118W	IV	247302	247682	+	381	17	3	11	4	4	2
gene:YDL117W	IV	248581	251238	+	2658	4065	1899	1994	3672	3180	4163
gene:YDL116W	IV	251566	253746	+	2181	7203	3765	3516	5587	4826	6032
gene:YDL115C	IV;IV	253995;255045	254974;255126	-;-	1062	4347	2384	1207	1519	1463	1672
gene:YDL114W-A	IV	254935	255048	+	114	33	11	15	16	19	22
gene:YDL114W	IV	255604	256530	+	927	3168	2225	680	804	556	442
gene:YDL113C	IV	256633	258555	-	1923	6104	4856	3575	3301	3078	3372
gene:YDL112W	IV	258915	263225	+	4311	7039	2936	3410	7974	6821	8909
gene:YDL111C	IV	263313	264110	-	798	1248	1138	968	2560	2959	3006
gene:YDL110C	IV	264512	264964	-	453	11301	14550	5474	3373	3989	3432
gene:YDL109C	IV	265258	267201	-	1944	1490	968	897	1001	919	933
gene:YDL108W	IV;IV	267698;267807	267725;268699	+;+	921	1216	1039	622	1369	1281	1281
gene:YDL107W	IV	268921	269976	+	1056	1183	739	363	533	497	615
gene:YDL106C	IV	270222	271901	-	1680	3944	2483	2213	2023	2023	2331
gene:YDL105W	IV	272389	273597	+	1209	1394	1014	733	568	603	760
gene:YDL104C	IV	273653	274876	-	1224	517	357	391	422	352	444
gene:YDL103C	IV	275148	276581	-	1434	10443	6642	3902	3821	3140	2974
gene:YDL102W	IV	276872	280165	+	3294	3936	2513	2378	2164	2155	2849
gene:YDL101C	IV	280307	281848	-	1542	2309	1521	865	1253	1250	1620
gene:YDL100C	IV	282112	283176	-	1065	10580	8448	3723	7951	8925	8444
gene:YDL099W	IV	283419	284444	+	1026	2112	1082	300	843	796	1025
gene:YDL098C	IV	284581	285165	-	585	777	453	174	434	424	448
gene:YDL097C	IV	285391	286695	-	1305	9179	7810	5327	4746	5166	6120
gene:YDL096C	IV	286998	287324	-	327	15	15	9	8	7	14
gene:YDL095W	IV	287059	289512	+	2454	9308	7765	6167	10232	9931	11116
gene:YDL094C	IV	289572	290081	-	510	126	70	88	51	39	43
gene:YDL093W	IV	289909	292140	+	2232	1430	1106	992	1082	1014	1063
gene:YDL092W	IV	292781	293221	+	441	1232	1092	345	1177	1505	1334
gene:YDL091C	IV	293392	294759	-	1368	3822	2987	2214	1574	1399	1732
gene:YDL090C	IV	295034	296329	-	1296	1406	1383	1249	855	852	976
gene:YDL089W	IV	296820	298274	+	1455	1859	1631	759	845	787	949
gene:YDL088C	IV	298417	300003	-	1587	5199	3562	2686	3822	3465	4511
gene:YDL087C	IV	300214	300999	-	786	853	680	544	617	536	568
gene:YDL086W	IV	301413	302234	+	822	2393	3685	2525	1821	2317	2111
gene:YDL086C-A	IV	301655	302089	-	435	12	19	32	18	26	21
gene:YDL085C-A	IV	302464	302670	-	207	168	226	63	184	184	129
gene:YDL085W	IV	303211	304848	+	1638	13950	18436	18335	9141	8026	7700
gene:YDL084W	IV	305237	306577	+	1341	15548	10032	6343	11826	13895	14719
gene:YDL083C	IV;IV	306926;307766	307333;307789	-;-	432	3264	3189	2373	8906	13639	9076
gene:YDL082W	IV;IV	308424;308793	308427;309388	+;+	600	6059	3020	2082	11326	14859	12043
gene:YDL081C	IV	309802	310122	-	321	2146	3530	2743	10921	17917	10821
gene:YDL080C	IV	310642	312471	-	1830	2810	1993	1559	2097	1734	2164
gene:YDL079C	IV;IV	312951;314337	314044;314748	-;-	1506	6009	4869	4108	3598	3228	3463
gene:YDL078C	IV	315357	316388	-	1032	15804	19157	16943	10268	12041	11367
gene:YDL077C	IV	316971	320120	-	3150	4547	3268	2825	2229	1947	2681
gene:YDL076C	IV	320668	321552	-	885	6155	4379	1945	2274	2018	2025
gene:YDL075W	IV;IV	322226;322704	322282;322988	+;+	342	6612	4105	1476	6693	11588	7819
gene:snR63	IV	323217	323471	-	255	2822	1793	5675	3276	3686	2981
gene:YDL074C	IV	324047	326149	-	2103	8174	3715	2581	5127	4901	5665
gene:YDL073W	IV	326613	329567	+	2955	3609	1951	1806	2235	1751	2316
gene:YDL072C	IV	329836	330447	-	612	3505	7569	4366	2787	3458	3308
gene:YDL071C	IV	330666	331040	-	375	23	36	8	38	22	24
gene:YDL070W	IV	331024	332940	+	1917	10733	8696	7647	6005	5496	6419
gene:YDL069C	IV	333121	333810	-	690	662	449	245	590	786	799
gene:YDL068W	IV	333500	333829	+	330	37	49	25	23	42	36
gene:YDL067C	IV	334217	334396	-	180	1623	3313	1735	4010	5407	3099
gene:YDL066W	IV	334835	336121	+	1287	5825	5258	4985	10627	10713	11031
gene:YDL065C	IV	336249	337277	-	1029	2691	1248	596	923	849	1048
gene:YDL064W	IV;IV	337487;337635	337524;338070	+;+	474	1287	1323	562	1759	2222	2066
gene:YDL063C	IV	338272	340134	-	1863	7850	2013	1857	8095	7694	9016
gene:YDL062W	IV	339857	340282	+	426	61	39	16	20	8	11
gene:YDL061C	IV	340628	340798	-	171	995	1108	795	1877	3581	1993
gene:YDL060W	IV	341619	343985	+	2367	7726	1951	1851	8995	7705	9679
gene:YDL059C	IV	344237	344953	-	717	3801	2550	1742	2588	2240	2819
gene:YDL058W	IV	345665	351037	+	5373	6945	3717	3452	3385	2558	3766
gene:YDL057W	IV	351434	352420	+	987	849	814	593	606	633	690
gene:YDL056W	IV	352877	355378	+	2502	7298	4253	2964	3252	3079	4108
gene:YDL055C	IV	355674	356759	-	1086	39679	23882	14240	43825	46499	42661
gene:tK(UUU)D	IV;IV	359577;359637	359613;359672	+;+	73	5	6	7	13	6	5
gene:YDL054C	IV	359825	361285	-	1461	6241	8743	5807	5276	4893	4727
gene:YDL053C	IV	361699	362256	-	558	3268	2535	681	2607	3189	2735
gene:YDL052C	IV	362672	363583	-	912	800	748	520	930	1001	999
gene:YDL051W	IV	363952	364779	+	828	6465	3203	2093	6285	7484	6711
gene:YDL050C	IV	364446	364817	-	372	9	18	10	2	9	10
gene:YDL049C	IV	365068	365874	-	807	5029	3902	2078	2738	2705	2482
gene:YDL048C	IV	366739	368211	-	1473	6193	4642	5426	9856	7948	12413
gene:YDL047W	IV	369771	370706	+	936	3095	2467	1994	3696	3750	4300
gene:YDL046W	IV	371240	371761	+	522	5613	9227	8796	6198	6922	7251
gene:YDL045W-A	IV	372248	372535	+	288	684	645	183	485	569	538
gene:YDL045C	IV	372688	373608	-	921	1305	1404	992	1410	1325	1527
gene:YDL044C	IV	373967	375289	-	1323	1467	813	602	848	780	963
gene:YDL043C	IV	375680	376480	-	801	1782	1067	655	1169	1258	1417
gene:YDL042C	IV	376757	378445	-	1689	2627	1913	1531	2607	2893	3704
gene:YDL041W	IV	378102	378455	+	354	0	0	0	3	5	0
gene:YDL040C	IV	378874	381438	-	2565	6991	3576	3521	5920	5674	7055
gene:YDL039C	IV	381985	384081	-	2097	4864	732	1345	13021	11853	15825
gene:YDL037C	IV	384601	385587	-	987	1790	1201	2456	4452	3687	4953
gene:YDL036C	IV	387513	388901	-	1389	1908	850	770	1926	1750	2285
gene:YDL035C	IV	389172	392057	-	2886	11930	7058	3912	4786	4645	5338
gene:YDL034W	IV	391783	392127	+	345	6	5	0	1	4	2
gene:YDL033C	IV	392659	393912	-	1254	1293	1377	1588	1812	1598	1994
gene:YDL032W	IV	393690	394001	+	312	6	7	7	9	2	5
gene:YDL031W	IV	394217	397204	+	2988	11959	3418	2981	10563	9669	12103
gene:YDL030W	IV	397537	399129	+	1593	1562	931	779	1257	1095	1295
gene:YDL029W	IV;IV	399340;399485	399361;400638	+;+	1176	4993	4945	2934	2928	3127	4063
gene:YDL028C	IV	400997	403291	-	2295	9153	5436	3803	3453	3420	3755
gene:YDL027C	IV	403695	404957	-	1263	6230	5229	3088	2143	1968	2690
gene:YDL026W	IV	404749	405060	+	312	14	24	10	8	14	18
gene:YDL025C	IV	405344	407206	-	1863	7382	7046	6315	4978	5234	5523
gene:YDL025W-A	IV	405410	405514	+	105	3	1	3	1	5	3
gene:YDL024C	IV	408451	409857	-	1407	2222	2181	1524	1156	1010	1156
gene:YDL022C-A	IV	409808	410056	-	249	93	111	91	66	61	54
gene:tA(AGC)D	IV	410379	410451	+	73	1	0	0	0	0	1
gene:YDL023C	IV	411761	412081	-	321	0	2	9	7	5	2
gene:YDL022W	IV	411825	413000	+	1176	24852	36899	34076	16250	16944	20233
gene:YDL021W	IV	413953	414888	+	936	6131	4963	2837	2384	2483	2850
gene:YDL020C	IV	415113	416708	-	1596	18994	14484	10789	13734	12976	15901
gene:YDL019C	IV	417663	421514	-	3852	7882	6593	8264	4412	4084	5030
gene:YDL018C	IV	422833	423510	-	678	1540	1771	840	583	654	725
gene:YDL017W	IV	424209	425732	+	1524	1477	1026	716	647	527	585
gene:YDL016C	IV	425570	425872	-	303	456	661	449	596	729	798
gene:YDL015C	IV	426002	426934	-	933	4598	7318	6239	7463	7904	9236
gene:YDL014W	IV	427364	428347	+	984	2937	1076	1332	9846	10165	10684
gene:YDL013W	IV	429067	430926	+	1860	3212	1801	1686	2537	2088	2740
gene:YDL012C	IV;IV	431108;431473	431386;431517	-;-	324	993	1073	480	795	820	682
gene:YDL011C	IV	432308	432631	-	324	1	1	4	2	3	2
gene:YDL010W	IV	432330	433025	+	696	1895	1136	528	805	730	798
gene:YDL009C	IV	432925	433248	-	324	10	21	11	11	16	8
gene:YDL008W	IV	433497	433994	+	498	1112	1182	535	752	758	583
gene:tT(AGU)D	IV	434264	434336	-	73	0	0	0	0	0	0
gene:YDL007C-A	IV	436567	436824	-	258	1208	2166	354	565	574	234
gene:tS(AGA)D1	IV	437772	437853	+	82	0	4	2	0	0	0
gene:YDL007W	IV	438047	439360	+	1314	8441	4638	3145	4140	3627	4567
gene:YDL006W	IV	439909	440754	+	846	2472	1740	1192	1620	1505	1509
gene:YDL005C	IV	441014	442309	-	1296	3056	1745	859	1594	1618	1778
gene:YDL004W	IV	443029	443511	+	483	5106	5974	3830	4033	5552	4891
gene:YDL003W	IV	444683	446383	+	1701	706	355	289	375	525	608
gene:YDL002C	IV	446967	447578	-	612	2088	1412	728	1360	1392	1750
gene:YDL001W	IV	447984	449276	+	1293	1488	957	544	1086	1074	1113
gene:YDR001C	IV	450220	452475	-	2256	19380	14145	15685	12045	11601	13863
gene:YDR002W	IV	453045	453650	+	606	13554	6983	3609	10091	13019	10751
gene:YDR003W	IV	454122	454754	+	633	2466	3062	2677	2304	2406	2532
gene:YDR003W-A	IV	454782	454904	+	123	544	748	601	505	566	534
gene:YDR004W	IV	455201	456583	+	1383	1349	979	679	1020	943	1260
gene:YDR005C	IV;IV	456836;458098	458017;458103	-;-	1188	4901	4107	2670	3086	2973	3860
gene:YDR006C	IV	458542	461247	-	2706	8647	6692	7495	8482	7086	9618
gene:YDR007W	IV	461842	462516	+	675	710	770	465	828	815	826
gene:YDR008C	IV	462252	462602	-	351	43	70	48	94	105	77
gene:YDR009W	IV	463434	464996	+	1563	717	534	594	1125	1178	1046
gene:YDR010C	IV	465051	465383	-	333	0	7	5	3	3	0
gene:YDR011W	IV	465919	470424	+	4506	18552	12755	17699	19374	17254	23257
gene:YDR012W	IV	471853	472941	+	1089	9968	8555	10580	27939	26124	26340
gene:YDR013W	IV	473157	473783	+	627	971	1047	493	781	1004	921
gene:YDR014W	IV	474046	475989	+	1944	2428	1802	1352	836	751	1121
gene:YDR014W-A	IV	477797	478285	+	489	3892	3690	1375	641	614	556
gene:YDR015C	IV	477960	478199	-	240	2	1	1	0	0	2
gene:YDR016C	IV	478474	478758	-	285	230	314	177	193	258	170
gene:YDR017C	IV	479115	482267	-	3153	13022	7426	5208	7114	6595	8022
gene:YDR018C	IV	482670	483860	-	1191	3753	4828	3098	1150	1353	1241
gene:YDR019C	IV	484163	485365	-	1203	4945	3188	2541	7678	8065	8426
gene:YDR020C	IV	485746	486444	-	699	825	373	201	1219	1060	1294
gene:YDR021W	IV	486804	488003	+	1200	2637	582	325	2160	2219	2723
gene:YDR022C	IV	488072	488662	-	591	1108	1579	918	588	757	794
gene:tV(UAC)D	IV	488797	488870	-	74	46	25	22	44	43	57
gene:YDR023W	IV	489508	490896	+	1389	19962	7425	5972	18528	20463	20731
gene:YDR024W	IV	491017	491502	+	486	164	69	61	163	167	205
gene:YDR025W	IV;IV	491515;491899	491559;492324	+;+	471	6314	4402	3991	11980	18707	14149
gene:YDR026C	IV	492556	494268	-	1713	2941	1316	919	2114	1861	2247
gene:YDR027C	IV	494649	497318	-	2670	4177	3054	2896	2287	1809	2633
gene:YDR028C	IV	497835	500879	-	3045	21445	11686	9861	10029	9453	11427
gene:YDR029W	IV	501100	501414	+	315	0	8	0	0	7	0
gene:YDR030C	IV	501753	503273	-	1521	1314	945	758	820	719	983
gene:YDR031W	IV	503498	503863	+	366	218	458	179	321	477	305
gene:YDR032C	IV	504099	504695	-	597	3173	7270	4932	2672	3673	3433
gene:YDR033W	IV	508147	509109	+	963	10695	11846	15798	9086	9542	10545
gene:YDR034C	IV	509737	512109	-	2373	7989	4449	4097	7303	6749	7593
gene:tL(UAA)D	IV	519743	519826	+	84	0	3	0	0	0	2
gene:YDR034C-A	IV	520516	520692	-	177	45	30	65	57	42	60
gene:tQ(UUG)D1	IV	520972	521043	+	72	1	1	0	0	0	1
gene:YDR034W-B	IV	521314	521469	+	156	644	2033	1100	559	887	570
gene:YDR035W	IV	521816	522928	+	1113	8208	7012	5386	13758	16597	15256
gene:YDR036C	IV	523211	524713	-	1503	2438	2004	1438	1984	1985	2696
gene:YDR037W	IV	525440	527215	+	1776	18868	4970	5831	30770	30796	32888
gene:YDR038C	IV	527422	530697	-	3276	4938	4284	4454	6973	4422	6223
gene:YDR039C	IV	531307	534582	-	3276	349	263	349	1527	360	1489
gene:YDR040C	IV	535192	538467	-	3276	6958	5528	7472	9502	7014	9022
gene:YDR041W	IV	539803	540414	+	612	2228	1989	815	2877	2733	2910
gene:YDR042C	IV	540601	541203	-	603	27236	26412	6131	8583	7765	4657
gene:snR47	IV	541602	541700	-	99	75	80	124	133	182	135
gene:YDR043C	IV	542674	543369	-	696	4296	2567	2015	6898	6662	6931
gene:YDR044W	IV	546642	547628	+	987	1876	1717	1549	4098	4278	5814
gene:YDR045C	IV	547978	548310	-	333	707	349	133	505	705	726
gene:YDR046C	IV	548762	550576	-	1815	3292	2279	1320	8724	9050	9208
gene:YDR047W	IV	551860	552948	+	1089	763	551	475	998	990	1130
gene:YDR048C	IV	553084	553398	-	315	7	24	1	12	16	10
gene:YDR049W	IV	553254	555152	+	1899	2745	1242	875	2257	2187	2507
gene:YDR050C	IV	555726	556472	-	747	44787	64154	69097	26122	37735	32265
gene:YDR051C	IV	557056	558060	-	1005	1592	1102	720	1247	1219	1446
gene:YDR052C	IV	558511	560625	-	2115	9604	5427	4037	3348	3116	3838
gene:YDR053W	IV	560249	560644	+	396	1	2	2	1	2	2
gene:YDR054C	IV	561440	562327	-	888	15119	10055	4970	7165	7510	8791
gene:YDR055W	IV	563527	564861	+	1335	16239	10046	5615	15818	17992	20257
gene:YDR056C	IV	565023	565640	-	618	1484	1299	726	930	947	969
gene:YDR057W	IV	565927	567555	+	1629	1666	1007	927	870	818	1050
gene:YDR058C	IV	567723	568703	-	981	1916	1346	573	1276	1125	1138
gene:tR(UCU)D	IV	568882	568953	+	72	0	0	1	0	0	0
gene:tD(GUC)D	IV	568964	569035	+	72	0	0	0	0	0	0
gene:YDR059C	IV;IV	569234;569724	569633;569770	-;-	447	4058	8849	4496	3906	4205	2682
gene:YDR060W	IV	570649	573726	+	3078	14831	3654	3725	14879	13669	17587
gene:YDR061W	IV	574164	575783	+	1620	3022	1875	1540	2348	2114	2960
gene:YDR062W	IV	576474	578159	+	1686	6301	3866	2747	5748	5222	6651
gene:YDR063W	IV	578663	579112	+	450	759	1175	645	487	490	513
gene:YDR064W	IV;IV	579458;580018	579478;580452	+;+	456	7551	7772	6844	19850	27361	17148
gene:YDR065W	IV	580687	581784	+	1098	1732	1070	713	916	859	1015
gene:YDR066C	IV	581908	582498	-	591	276	291	223	212	195	267
gene:YDR067C	IV	582791	583465	-	675	1154	1197	511	1328	1402	1697
gene:YDR068W	IV	583713	584645	+	933	2576	1286	491	1154	979	1178
gene:YDR069C	IV	584939	587719	-	2781	5212	4203	4128	2946	3012	3567
gene:YDR070C	IV	588098	588379	-	282	25960	61867	27118	7719	9391	8500
gene:YDR071C	IV	588827	589402	-	576	2999	2926	959	1895	2505	2492
gene:YDR072C	IV	589761	591344	-	1584	3284	3877	2937	4037	3979	4632
gene:YDR073W	IV	592439	592948	+	510	1258	1254	482	810	1074	896
gene:YDR074W	IV	593893	596583	+	2691	53454	56088	59544	21846	19948	25637
gene:YDR075W	IV	597156	598082	+	927	2140	1010	853	1882	1593	2356
gene:YDR076W	IV	598468	599688	+	1221	840	649	599	425	419	597
gene:YDR077W	IV	600793	601809	+	1017	335193	280604	374779	152729	127887	193206
gene:YDR078C	IV	602198	602869	-	672	389	466	190	240	330	250
gene:YDR079W	IV	603064	603399	+	336	536	677	293	407	584	487
gene:YDR079C-A	IV	603593	603811	-	219	133	143	62	145	179	113
gene:YDR080W	IV	604008	606986	+	2979	2944	1781	1648	1783	1341	2100
gene:YDR081C	IV	607304	610081	-	2778	4093	2356	2105	3200	2798	3611
gene:YDR082W	IV	610441	611925	+	1485	1906	1160	877	1377	1104	1378
gene:YDR083W	IV	612073	613251	+	1179	2532	649	376	2696	2529	2917
gene:YDR084C	IV	613405	614004	-	600	421	943	530	586	689	643
gene:YDR085C	IV	614288	616150	-	1863	6417	4707	3555	2614	2526	3436
gene:YDR086C	IV	616928	617170	-	243	3429	4410	1430	2079	2664	2339
gene:YDR087C	IV	617470	618306	-	837	3291	867	547	3357	3530	3807
gene:YDR088C	IV	618497	619645	-	1149	1545	828	270	824	817	1045
gene:tR(ACG)D	IV	619969	620041	-	73	1	0	0	2	3	0
gene:YDR089W	IV	622112	624721	+	2610	3432	2023	1775	2540	2224	2357
gene:YDR090C	IV	625066	625998	-	933	1190	1069	797	1805	1701	1677
gene:YDR091C	IV	626708	628534	-	1827	20617	8403	9770	22768	21358	24317
gene:YDR092W	IV;IV	629876;630174	629905;630605	+;+	462	2711	3202	1964	3458	3351	3118
gene:YDR093W	IV	631282	636120	+	4839	8055	3699	5118	12316	10198	12594
gene:YDR094W	IV	635840	636175	+	336	1	0	2	1	1	2
gene:YDR095C	IV	636117	636527	-	411	1	0	2	5	7	3
gene:YDR096W	IV	637139	639823	+	2685	28495	22743	20473	11130	10183	12686
gene:YDR097C	IV	640109	643837	-	3729	4603	2867	2962	2599	2211	2786
gene:YDR098C	IV	644178	644930	-	753	3406	2410	1488	4558	5139	4834
gene:tQ(UUG)D2	IV	645153	645224	-	72	0	2	1	0	0	2
gene:YDR099W	IV	653607	654428	+	822	53859	41169	24937	15896	16193	17995
gene:YDR100W	IV	655013	655444	+	432	549	1410	926	347	448	364
gene:YDR101C	IV	655686	657467	-	1782	8855	2312	1988	13229	12961	14831
gene:YDR102C	IV	657648	657980	-	333	8	2	11	1	0	2
gene:YDR103W	IV	658350	661103	+	2754	1475	761	626	845	755	827
gene:YDR104C	IV	661173	664910	-	3738	8063	4370	3992	3564	2905	3806
gene:YDR105C	IV	665349	666770	-	1422	1512	2439	1735	1793	1820	1826
